cazyme	cazyme_category	cazyme_sub_category	details
GH32	Dietary fibres	Inulin 	Inulin 
PL1_2	Dietary fibres	Pectin-backbone	Homogalacturonan
PL1_6	Dietary fibres	Pectin-backbone	Homogalacturonan
PL1_8	Dietary fibres	Pectin-backbone	Homogalacturonan
PL10	Dietary fibres	Pectin-backbone	Homogalacturonan
PL10_1	Dietary fibres	Pectin-backbone	Homogalacturonan
PL2_1	Dietary fibres	Pectin-backbone	Homogalacturonan
PL22	Dietary fibres	Pectin-backbone	Homogalacturonan
PL22_1	Dietary fibres	Pectin-backbone	Homogalacturonan
PL4	Dietary fibres	Pectin-backbone	Rhamnogalacturonan I
PL4_1	Dietary fibres	Pectin-backbone	Rhamnogalacturonan I
PL11	Dietary fibres	Pectin-backbone	Rhamnogalacturonan I
PL11_1	Dietary fibres	Pectin-backbone	Rhamnogalacturonan I
PL26	Dietary fibres	Pectin-backbone	Rhamnogalacturonan I
PL9_1	Dietary fibres	Pectin-backbone	Rhamnogalacturonan I
GH105	Dietary fibres	Pectin-backbone	Rhamnogalacturonan I, Homogalacturonan
GH28	Dietary fibres	Pectin-backbone	Rhamnogalacturonan I, Homogalacturonan, Xylogalacturonan
GH146	Dietary fibres	Pectin-side-chains	Arabinan
GH43_22	Dietary fibres	Pectin-side-chains	Arabinan
GH43_27	Dietary fibres	Pectin-side-chains	Arabinan
GH43_29	Dietary fibres	Pectin-side-chains	Arabinan
GH43_37	Dietary fibres	Pectin-side-chains	Arabinan
GH43_4	Dietary fibres	Pectin-side-chains	Arabinan
GH43_5	Dietary fibres	Pectin-side-chains	Arabinan
GH147	Dietary fibres	Pectin-side-chains	Galactan
GH53	Dietary fibres	Pectin-side-chains	Galactan
GH106	Dietary fibres	Pectin-side-chains	Rhamnogalacturonan I
GH138	Dietary fibres	Pectin-side-chains	Rhamnogalacturonan I
GH137	Dietary fibres	Pectin-side-chains	Rhamnogalacturonan II
GH140	Dietary fibres	Pectin-side-chains	Rhamnogalacturonan II
GH142	Dietary fibres	Pectin-side-chains	Rhamnogalacturonan II
GH143	Dietary fibres	Pectin-side-chains	Rhamnogalacturonan II
